Inventario por desempeño
Fecha Generación:;22/04/2024 13:08

Filtros Aplicados
Rubro;rubro,rubro,rubro
Familia;familia,familia,familia,familia

Partida Parcial;Producto;Nro. Inventario;Rótulo;Evaluación;Nro. Serie;Dirección;Desempeño
4.3.6 - Equipo para Computación                           ;SERVIDOR DE DOMINIO Y ARCHIVO;PGN042926;Z0022858;;;ESPAÑA 1735 - General Roca - Río Negro;AE01 - Fiscalía General ante la Cámara Federal de Apelaciones de General Roca
4.3.6 - Equipo para Computación                           ;SERVIDOR DE DOMINIO Y ARCHIVO;PGN042928;PGN042928;;;AVENIDA BELGRANO 909 - CABA - CABA;901 - Dirección General de Desarrollo Organizacional y Nuevas Tecnologías
4.3.6 - Equipo para Computación                           ;SERVIDOR DE DOMINIO Y ARCHIVO;PGN042929;PGN042929;;;AVENIDA BELGRANO 909 - CABA - CABA;901 - Dirección General de Desarrollo Organizacional y Nuevas Tecnologías
4.3.6 - Equipo para Computación                           ;SERVIDOR DE DOMINIO Y ARCHIVO;PGN042930;PGN042930;;;AVENIDA BELGRANO 909 - CABA - CABA;901 - Dirección General de Desarrollo Organizacional y Nuevas Tecnologías
4.3.6 - Equipo para Computación                           ;SERVIDOR DE DOMINIO Y ARCHIVO;PGN042931;PGN042931;;;AVENIDA BELGRANO 909 - CABA - CABA;901 - Dirección General de Desarrollo Organizacional y Nuevas Tecnologías
4.3.6 - Equipo para Computación                           ;SERVIDOR DE DOMINIO Y ARCHIVO;PGN042932;PGN042932;;;AVENIDA BELGRANO 909 - CABA - CABA;901 - Dirección General de Desarrollo Organizacional y Nuevas Tecnologías
4.3.6 - Equipo para Computación                           ;SERVIDOR DE DOMINIO Y ARCHIVO;PGN042933;PGN042933;;;AVENIDA BELGRANO 909 - CABA - CABA;901 - Dirección General de Desarrollo Organizacional y Nuevas Tecnologías
4.3.6 - Equipo para Computación                           ;SERVIDOR DE DOMINIO Y ARCHIVO;PGN042934;PGN042934;;;AVENIDA BELGRANO 909 - CABA - CABA;901 - Dirección General de Desarrollo Organizacional y Nuevas Tecnologías
4.3.6 - Equipo para Computación                           ;SERVIDOR DE DOMINIO Y ARCHIVO;PGN042935;PGN042935;;;AVENIDA BELGRANO 909 - CABA - CABA;901 - Dirección General de Desarrollo Organizacional y Nuevas Tecnologías
4.3.6 - Equipo para Computación                           ;SERVIDOR DE DOMINIO Y ARCHIVO;PGN042936;PGN042936;;;AVENIDA BELGRANO 909 - CABA - CABA;901 - Dirección General de Desarrollo Organizacional y Nuevas Tecnologías
4.3.6 - Equipo para Computación                           ;SERVIDOR DE DOMINIO Y ARCHIVO;PGN042937;PGN042937;;;AVENIDA BELGRANO 909 - CABA - CABA;901 - Dirección General de Desarrollo Organizacional y Nuevas Tecnologías
4.3.6 - Equipo para Computación                           ;SERVIDOR DE DOMINIO Y ARCHIVO;PGN042938;PGN042938;;;AVENIDA BELGRANO 909 - CABA - CABA;901 - Dirección General de Desarrollo Organizacional y Nuevas Tecnologías
4.3.6 - Equipo para Computación                           ;SERVIDOR DE DOMINIO Y ARCHIVO;PGN042939;PGN042939;;;AVENIDA BELGRANO 909 - CABA - CABA;901 - Dirección General de Desarrollo Organizacional y Nuevas Tecnologías
4.3.6 - Equipo para Computación                           ;SERVIDOR DE DOMINIO Y ARCHIVO;PGN042940;PGN042940;;;AVENIDA BELGRANO 909 - CABA - CABA;901 - Dirección General de Desarrollo Organizacional y Nuevas Tecnologías
4.3.6 - Equipo para Computación                           ;SERVIDOR DE DOMINIO Y ARCHIVO;PGN042941;PGN042941;;;AVENIDA BELGRANO 909 - CABA - CABA;901 - Dirección General de Desarrollo Organizacional y Nuevas Tecnologías
4.3.6 - Equipo para Computación                           ;SERVIDOR DE DOMINIO Y ARCHIVO;PGN042942;PGN042942;;;AVENIDA BELGRANO 909 - CABA - CABA;901 - Dirección General de Desarrollo Organizacional y Nuevas Tecnologías
4.3.6 - Equipo para Computación                           ;SERVIDOR DE DOMINIO Y ARCHIVO;PGN042943;PGN042943;;;AVENIDA BELGRANO 909 - CABA - CABA;901 - Dirección General de Desarrollo Organizacional y Nuevas Tecnologías
4.3.6 - Equipo para Computación                           ;SERVIDOR DE DOMINIO Y ARCHIVO;PGN042944;PGN042944;;;AVENIDA BELGRANO 909 - CABA - CABA;901 - Dirección General de Desarrollo Organizacional y Nuevas Tecnologías
4.3.6 - Equipo para Computación                           ;SERVIDOR DE DOMINIO Y ARCHIVO;PGN042945;PGN042945;;;AVENIDA BELGRANO 909 - CABA - CABA;901 - Dirección General de Desarrollo Organizacional y Nuevas Tecnologías
4.3.6 - Equipo para Computación                           ;SERVIDOR DE DOMINIO Y ARCHIVO;PGN042946;PGN042946;;;AVENIDA BELGRANO 909 - CABA - CABA;901 - Dirección General de Desarrollo Organizacional y Nuevas Tecnologías
4.3.6 - Equipo para Computación                           ;SERVIDOR DE DOMINIO Y ARCHIVO;PGN042947;PGN042947;;;AVENIDA BELGRANO 909 - CABA - CABA;901 - Dirección General de Desarrollo Organizacional y Nuevas Tecnologías
4.3.6 - Equipo para Computación                           ;SERVIDOR DE DOMINIO Y ARCHIVO;PGN042948;PGN042948;;;AVENIDA BELGRANO 909 - CABA - CABA;901 - Dirección General de Desarrollo Organizacional y Nuevas Tecnologías
4.3.6 - Equipo para Computación                           ;SERVIDOR DE DOMINIO Y ARCHIVO;PGN042949;PGN042949;;;AVENIDA BELGRANO 909 - CABA - CABA;901 - Dirección General de Desarrollo Organizacional y Nuevas Tecnologías
4.3.6 - Equipo para Computación                           ;SERVIDOR DE DOMINIO Y ARCHIVO;PGN042950;PGN042950;;;AVENIDA BELGRANO 909 - CABA - CABA;901 - Dirección General de Desarrollo Organizacional y Nuevas Tecnologías
4.3.6 - Equipo para Computación                           ;SERVIDOR DE DOMINIO Y ARCHIVO;PGN042952;PGN042952;;;AVENIDA BELGRANO 909 - CABA - CABA;901 - Dirección General de Desarrollo Organizacional y Nuevas Tecnologías
4.3.6 - Equipo para Computación                           ;SERVIDOR DE DOMINIO Y ARCHIVO;PGN042953;PGN042953;;;AVENIDA BELGRANO 909 - CABA - CABA;901 - Dirección General de Desarrollo Organizacional y Nuevas Tecnologías
4.3.6 - Equipo para Computación                           ;SERVIDOR DE DOMINIO Y ARCHIVO;PGN042954;PGN042954;;;AVENIDA BELGRANO 909 - CABA - CABA;901 - Dirección General de Desarrollo Organizacional y Nuevas Tecnologías
4.3.6 - Equipo para Computación                           ;SERVIDOR DE DOMINIO Y ARCHIVO;PGN042955;PGN042955;;;AVENIDA BELGRANO 909 - CABA - CABA;901 - Dirección General de Desarrollo Organizacional y Nuevas Tecnologías
